"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 05 22:55:38 GMT 2022","Thu May 05 22:55:39 GMT 2022","1049","","Actions","","","","may fail",""
"passed","Thu May 05 22:55:34 GMT 2022","Thu May 05 22:55:35 GMT 2022","1118","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Thu May 05 22:55:36 GMT 2022","Thu May 05 22:55:38 GMT 2022","1141","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Thu May 05 22:55:35 GMT 2022","Thu May 05 22:55:36 GMT 2022","1242","","Actions","","","",".blur() - blur off a DOM element",""
