"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 05 22:59:10 GMT 2022","Thu May 05 22:59:11 GMT 2022","452","","Actions","","","","may fail",""
"passed","Thu May 05 22:59:06 GMT 2022","Thu May 05 22:59:07 GMT 2022","1270","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Thu May 05 22:59:09 GMT 2022","Thu May 05 22:59:10 GMT 2022","1287","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Thu May 05 22:59:08 GMT 2022","Thu May 05 22:59:09 GMT 2022","1142","","Actions","","","",".blur() - blur off a DOM element",""
