"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 20 10:56:37 GMT 2022","Fri May 20 10:56:38 GMT 2022","1866","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Fri May 20 10:56:40 GMT 2022","Fri May 20 10:56:41 GMT 2022","1197","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Fri May 20 10:56:39 GMT 2022","Fri May 20 10:56:40 GMT 2022","1332","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Fri May 20 10:56:41 GMT 2022","Fri May 20 10:56:42 GMT 2022","512","","Actions","","","","may fail",""
