"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 06 08:34:51 GMT 2022","Fri May 06 08:34:51 GMT 2022","289","","Actions","","","","may fail",""
"passed","Fri May 06 08:34:48 GMT 2022","Fri May 06 08:34:49 GMT 2022","935","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Fri May 06 08:34:49 GMT 2022","Fri May 06 08:34:50 GMT 2022","867","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Fri May 06 08:34:50 GMT 2022","Fri May 06 08:34:51 GMT 2022","960","","Actions","","","",".clear() - clears an input or textarea element",""
